filename,label,sequence_id
00001_meng_thermal.png,walking ,W_01
00002_meng_thermal.png,walking ,W_01
00003_meng_thermal.png,walking ,W_01
00004_meng_thermal.png,walking ,W_01
00005_meng_thermal.png,walking ,W_01
00006_meng_thermal.png,walking ,W_01
00007_meng_thermal.png,walking ,W_01
00008_meng_thermal.png,walking ,W_01
00009_meng_thermal.png,walking ,W_01
00010_meng_thermal.png,walking ,W_01
00011_meng_thermal.png,walking ,W_01
00012_meng_thermal.png,walking ,W_01
00013_meng_thermal.png,walking ,W_01
00014_meng_thermal.png,walking ,W_01
00015_meng_thermal.png,walking ,W_01
00016_meng_thermal.png,walking ,W_01
00017_meng_thermal.png,walking ,W_01
00018_meng_thermal.png,walking ,W_01
00019_meng_thermal.png,walking ,W_01
00020_meng_thermal.png,walking ,W_01
00021_meng_thermal.png,walking ,W_01
00022_meng_thermal.png,walking ,W_01
00023_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00024_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00025_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00026_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00027_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00028_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00029_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00030_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00031_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00032_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00033_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00034_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00035_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00036_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00037_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00038_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00039_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00040_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00041_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00042_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00043_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00044_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00045_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00046_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00047_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00048_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00049_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00050_meng_thermal.png,sitting_down_on_chair,Sdoc_01
00051_meng_thermal.png,sitting_on_chair,Soc_01
00052_meng_thermal.png,sitting_on_chair,Soc_01
00053_meng_thermal.png,sitting_on_chair,Soc_01
00054_meng_thermal.png,sitting_on_chair,Soc_01
